title,link,description,date,source
Malden School Accused Of Racist Hair Policy Refuses To Meet With ADL - CBS Boston / WBZ,https://boston.cbslocal.com/2017/05/15/malden-mystic-valley-charter-school-hair-policy-racism-anti-defamation-league/," href=""https://boston.cbslocal.com/2017/05/15/malden-mystic-valley-charter-school-hair-policy-racism-anti-defamation-league/"" target=""_blank"">Malden School Accused Of Racist Hair Policy Refuses To Meet With ADL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Boston / WBZ</font",2017-05-15 07:00:00+00:00,CBS Boston / WBZ
Doctor threatens half-billion dollar defamation lawsuit against media - WPEC,https://cbs12.com/news/local/doctor-threatens-half-billion-dollar-defamation-lawsuit-against-media," href=""https://cbs12.com/news/local/doctor-threatens-half-billion-dollar-defamation-lawsuit-against-media"" target=""_blank"">Doctor threatens half-billion dollar defamation lawsuit against media</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WPEC</font",2017-02-24 08:00:00+00:00,WPEC
"The one weird court case linking Trump, Clinton, and a billionaire pedophile - Politico",https://www.politico.com/story/2017/05/04/jeffrey-epstein-trump-lawsuit-sex-trafficking-237983," href=""https://www.politico.com/story/2017/05/04/jeffrey-epstein-trump-lawsuit-sex-trafficking-237983"" target=""_blank"">The one weird court case linking Trump, Clinton, and a billionaire pedophile</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Politico</font",2017-05-04 07:00:00+00:00,Politico
Bad Libel Law Strikes Again: Silly UK Twitter Spat Results In Six Figure Payout - Techdirt,https://www.techdirt.com/articles/20170310/15184436891/bad-libel-law-strikes-again-silly-uk-twitter-spat-results-six-figure-payout.shtml," href=""https://www.techdirt.com/articles/20170310/15184436891/bad-libel-law-strikes-again-silly-uk-twitter-spat-results-six-figure-payout.shtml"" target=""_blank"">Bad Libel Law Strikes Again: Silly UK Twitter Spat Results In Six Figure Payout</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Techdirt</font",2017-03-13 07:00:00+00:00,Techdirt
Rebel Wilson to give evidence in defamation case - The Sydney Morning Herald,https://www.smh.com.au/entertainment/movies/rebel-wilson-to-give-evidence-in-defamation-case-20170428-gvv7e6.html," href=""https://www.smh.com.au/entertainment/movies/rebel-wilson-to-give-evidence-in-defamation-case-20170428-gvv7e6.html"" target=""_blank"">Rebel Wilson to give evidence in defamation case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sydney Morning Herald</font",2017-04-28 07:00:00+00:00,The Sydney Morning Herald
Satyendar Jain to file defamation case against Kapil Mishra: Official - Economic Times,https://economictimes.indiatimes.com/news/politics-and-nation/satyendar-jain-to-file-defamation-case-against-kapil-mishra-official/articleshow/58581726.cms," href=""https://economictimes.indiatimes.com/news/politics-and-nation/satyendar-jain-to-file-defamation-case-against-kapil-mishra-official/articleshow/58581726.cms"" target=""_blank"">Satyendar Jain to file defamation case against Kapil Mishra: Official</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Economic Times</font",2017-05-08 07:00:00+00:00,Economic Times
Ugandan journalists notch a win against criminal defamation - IFEX,https://ifex.org/ugandan-journalists-notch-a-win-against-criminal-defamation/," href=""https://ifex.org/ugandan-journalists-notch-a-win-against-criminal-defamation/"" target=""_blank"">Ugandan journalists notch a win against criminal defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IFEX</font",2017-03-23 07:00:00+00:00,IFEX
"Former Fresno Opera director sues company, successor for alleged defamation - Fresno Bee",https://www.fresnobee.com/entertainment/performing-arts/article137022033.html," href=""https://www.fresnobee.com/entertainment/performing-arts/article137022033.html"" target=""_blank"">Former Fresno Opera director sues company, successor for alleged defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fresno Bee</font",2017-03-07 08:00:00+00:00,Fresno Bee
Ex-teacher accuses St. Andrew's School of defamation in lawsuit - South Florida Sun Sentinel - Sun Sentinel,https://www.sun-sentinel.com/local/palm-beach/boca-raton/fl-st-andrews-waite-20170316-story.html," href=""https://www.sun-sentinel.com/local/palm-beach/boca-raton/fl-st-andrews-waite-20170316-story.html"" target=""_blank"">Ex-teacher accuses St. Andrew's School of defamation in lawsuit - South Florida Sun Sentinel</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sun Sentinel</font",2017-03-16 07:00:00+00:00,Sun Sentinel
Virginia Roberts suing Ghislaine Maxwell for defamation - Daily Mail,https://www.dailymail.co.uk/news/article-4466874/Virginia-Roberts-suing-Ghislaine-Maxwell-defamation.html," href=""https://www.dailymail.co.uk/news/article-4466874/Virginia-Roberts-suing-Ghislaine-Maxwell-defamation.html"" target=""_blank"">Virginia Roberts suing Ghislaine Maxwell for defamation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Mail</font",2017-05-02 07:00:00+00:00,Daily Mail
A diabetes researcher sued his former employer for defamation. Here's the story. - Retraction Watch,https://retractionwatch.com/2017/04/12/diabetes-researcher-sued-former-employer-defamation-heres-story/," href=""https://retractionwatch.com/2017/04/12/diabetes-researcher-sued-former-employer-defamation-heres-story/"" target=""_blank"">A diabetes researcher sued his former employer for defamation. Here's the story.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Retraction Watch</font",2017-04-12 07:00:00+00:00,Retraction Watch
The Telegraph Hired A Judge It Accused Of Hampering The Free Press To Conduct A Secret Internal Inquiry - BuzzFeed News,https://www.buzzfeed.com/alexspence/the-telegraph-hired-a-judge-it-accused-of-hampering-the-free," href=""https://www.buzzfeed.com/alexspence/the-telegraph-hired-a-judge-it-accused-of-hampering-the-free"" target=""_blank"">The Telegraph Hired A Judge It Accused Of Hampering The Free Press To Conduct A Secret Internal Inquiry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BuzzFeed News</font",2017-03-10 08:00:00+00:00,BuzzFeed News
Former Prairie Ridge Assisted Living employees face defamation suit - Beaver Dam Daily Citizen,https://www.wiscnews.com/bdc/news/local/former-prairie-ridge-assisted-living-employees-face-defamation-suit/article_9af88a72-42d4-55ec-bd1c-4611b283a0c2.html," href=""https://www.wiscnews.com/bdc/news/local/former-prairie-ridge-assisted-living-employees-face-defamation-suit/article_9af88a72-42d4-55ec-bd1c-4611b283a0c2.html"" target=""_blank"">Former Prairie Ridge Assisted Living employees face defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Beaver Dam Daily Citizen</font",2017-04-17 07:00:00+00:00,Beaver Dam Daily Citizen
Sean 'Diddy' Combs Sued by Ex-Chef for Sexual Harassment and Retaliation - Hollywood Reporter,https://www.hollywoodreporter.com/thr-esq/sean-diddy-combs-sued-by-chef-sexual-harassment-retaliation-1001540," href=""https://www.hollywoodreporter.com/thr-esq/sean-diddy-combs-sued-by-chef-sexual-harassment-retaliation-1001540"" target=""_blank"">Sean 'Diddy' Combs Sued by Ex-Chef for Sexual Harassment and Retaliation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hollywood Reporter</font",2017-05-08 07:00:00+00:00,Hollywood Reporter
Everything You Should Know before Sending a Cease & Desist Letter in China - Lexology,https://www.lexology.com/library/detail.aspx?g=7097739d-de47-4720-94a1-5ccf57846877," href=""https://www.lexology.com/library/detail.aspx?g=7097739d-de47-4720-94a1-5ccf57846877"" target=""_blank"">Everything You Should Know before Sending a Cease & Desist Letter in China</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lexology</font",2017-05-16 07:00:00+00:00,Lexology
Lawsuit claims Christian school falsely accused parents of abuse - The Daily News Journal,https://www.dnj.com/story/news/2017/03/27/lawsuit-claims-christian-school-falsely-accused-parents-abuse/99686998/," href=""https://www.dnj.com/story/news/2017/03/27/lawsuit-claims-christian-school-falsely-accused-parents-abuse/99686998/"" target=""_blank"">Lawsuit claims Christian school falsely accused parents of abuse</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily News Journal</font",2017-03-27 07:00:00+00:00,The Daily News Journal
Daryl Katz’s Media Rep Calls Defamation Claim a ‘Smear Dressed Up as a Lawsuit’ - Variety,https://variety.com/2017/biz/news/daryl-katz-greice-santo-glenn-bunting-1202030502/," href=""https://variety.com/2017/biz/news/daryl-katz-greice-santo-glenn-bunting-1202030502/"" target=""_blank"">Daryl Katz’s Media Rep Calls Defamation Claim a ‘Smear Dressed Up as a Lawsuit’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Variety</font",2017-04-13 07:00:00+00:00,Variety
Thai rights lawyer faces up to 150 years in prison for royal insult - Reuters,https://www.reuters.com/article/us-thailand-rights-idUSKBN18007Y," href=""https://www.reuters.com/article/us-thailand-rights-idUSKBN18007Y"" target=""_blank"">Thai rights lawyer faces up to 150 years in prison for royal insult</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2017-05-03 07:00:00+00:00,Reuters
What to Know About Chobani's Lawsuit Against Alex Jones - TIME,https://time.com/4754664/chobani-alex-jones-infowars-lawsuit/," href=""https://time.com/4754664/chobani-alex-jones-infowars-lawsuit/"" target=""_blank"">What to Know About Chobani's Lawsuit Against Alex Jones</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TIME</font",2017-04-25 07:00:00+00:00,TIME
Arvind Kejriwal Exempted From Court Appearance For A Day In Defamation Case - NDTV,https://www.ndtv.com/india-news/arvind-kejriwal-exempted-from-court-appearance-for-a-day-in-defamation-case-1676146," href=""https://www.ndtv.com/india-news/arvind-kejriwal-exempted-from-court-appearance-for-a-day-in-defamation-case-1676146"" target=""_blank"">Arvind Kejriwal Exempted From Court Appearance For A Day In Defamation Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2017-04-01 07:00:00+00:00,NDTV
Kejriwal summoned as accused in defamation case filed by Zee News owner Subhash Chandra - Janta Ka Reporter,http://www.jantakareporter.com/india/kejriwal-zee/104866/," href=""http://www.jantakareporter.com/india/kejriwal-zee/104866/"" target=""_blank"">Kejriwal summoned as accused in defamation case filed by Zee News owner Subhash Chandra</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Ka Reporter</font",2017-03-06 08:00:00+00:00,Janta Ka Reporter
Horry County Schools facing false imprisonment and defamation lawsuit - The State,https://www.thestate.com/news/state/south-carolina/article145364689.html," href=""https://www.thestate.com/news/state/south-carolina/article145364689.html"" target=""_blank"">Horry County Schools facing false imprisonment and defamation lawsuit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The State</font",2017-04-18 07:00:00+00:00,The State
Pop stars Shakira and Vives accused of plagiarism - BBC News,https://www.bbc.com/news/world-latin-america-39148341," href=""https://www.bbc.com/news/world-latin-america-39148341"" target=""_blank"">Pop stars Shakira and Vives accused of plagiarism</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC News</font",2017-03-02 08:00:00+00:00,BBC News
DDCA defamation case: Court tells Kejriwal to appear on March 21 - Business Standard,https://www.business-standard.com/article/news-ians/ddca-defamation-case-court-tells-kejriwal-to-appear-on-march-21-117021800541_1.html," href=""https://www.business-standard.com/article/news-ians/ddca-defamation-case-court-tells-kejriwal-to-appear-on-march-21-117021800541_1.html"" target=""_blank"">DDCA defamation case: Court tells Kejriwal to appear on March 21</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font",2017-02-18 08:00:00+00:00,Business Standard
Eli Manning of New York Giants accused of fraud in court documents - ESPN,https://www.espn.com/nfl/story/_/id/19153348/eli-manning-new-york-giants-accused-fraud-court-documents," href=""https://www.espn.com/nfl/story/_/id/19153348/eli-manning-new-york-giants-accused-fraud-court-documents"" target=""_blank"">Eli Manning of New York Giants accused of fraud in court documents</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ESPN</font",2017-04-13 07:00:00+00:00,ESPN
Can Obama Sue Trump for Libel? - Slate Magazine,https://slate.com/news-and-politics/2017/03/obama-could-sue-trump-for-libel.html," href=""https://slate.com/news-and-politics/2017/03/obama-could-sue-trump-for-libel.html"" target=""_blank"">Can Obama Sue Trump for Libel?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Slate Magazine</font",2017-03-08 08:00:00+00:00,Slate Magazine
Family of slain Dallas lawyer Tobolowsky wins $5.5 million in defamation suit - Dallas News,https://www.dallasnews.com/news/courts/2017/05/09/family-of-slain-dallas-lawyer-tobolowsky-wins-5-5-million-in-defamation-suit/," href=""https://www.dallasnews.com/news/courts/2017/05/09/family-of-slain-dallas-lawyer-tobolowsky-wins-5-5-million-in-defamation-suit/"" target=""_blank"">Family of slain Dallas lawyer Tobolowsky wins $5.5 million in defamation suit</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dallas News</font",2017-05-09 07:00:00+00:00,Dallas News
Judge tosses defamation lawsuit over Landry's tigers - Chron.com,https://www.chron.com/houston/article/Judge-tosses-defamation-lawsuit-over-Landry-s-10955409.php," href=""https://www.chron.com/houston/article/Judge-tosses-defamation-lawsuit-over-Landry-s-10955409.php"" target=""_blank"">Judge tosses defamation lawsuit over Landry's tigers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chron.com</font",2017-02-23 08:00:00+00:00,Chron.com
"The Law of Lying: Perjury, False Statements, and Obstruction - Lawfare",https://www.lawfareblog.com/law-lying-perjury-false-statements-and-obstruction," href=""https://www.lawfareblog.com/law-lying-perjury-false-statements-and-obstruction"" target=""_blank"">The Law of Lying: Perjury, False Statements, and Obstruction</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Lawfare</font",2017-03-22 07:00:00+00:00,Lawfare
