title,link,description,date,source
"Delhi court fines Ashutosh Rs 10,000 in criminal defamation case filed by Jaitley - Janta Ka Reporter",http://www.jantakareporter.com/delhi/delhi-court-fines-ashutosh-rs-10000/167871/," href=""http://www.jantakareporter.com/delhi/delhi-court-fines-ashutosh-rs-10000/167871/"" target=""_blank"">Delhi court fines Ashutosh Rs 10,000 in criminal defamation case filed by Jaitley</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Janta Ka Reporter</font",2018-01-07 08:00:00+00:00,Janta Ka Reporter
I am a feminist and I support Aziz Ansari: The true victim of this vexing incident is the #MeToo movement - Firstpost,https://www.firstpost.com/entertainment/i-am-a-feminist-and-i-support-aziz-ansari-the-true-victim-of-this-vexing-incident-is-the-metoo-movement-4306583.html," href=""https://www.firstpost.com/entertainment/i-am-a-feminist-and-i-support-aziz-ansari-the-true-victim-of-this-vexing-incident-is-the-metoo-movement-4306583.html"" target=""_blank"">I am a feminist and I support Aziz Ansari: The true victim of this vexing incident is the #MeToo movement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font",2018-01-17 08:00:00+00:00,Firstpost
"Singapore: Laws Chill Free Speech, Assembly - Human Rights Watch",https://www.hrw.org/news/2017/12/13/singapore-laws-chill-free-speech-assembly," href=""https://www.hrw.org/news/2017/12/13/singapore-laws-chill-free-speech-assembly"" target=""_blank"">Singapore: Laws Chill Free Speech, Assembly</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Human Rights Watch</font",2017-12-13 08:00:00+00:00,Human Rights Watch
Ex-US NSA employee pleads guilty to taking classified US govt documents - Hindustan Times,https://www.hindustantimes.com/world-news/ex-us-nsa-employee-pleads-guilty-to-taking-classified-us-govt-documents/story-U70Ppj68ZZlFU0VLsO36tL.html," href=""https://www.hindustantimes.com/world-news/ex-us-nsa-employee-pleads-guilty-to-taking-classified-us-govt-documents/story-U70Ppj68ZZlFU0VLsO36tL.html"" target=""_blank"">Ex-US NSA employee pleads guilty to taking classified US govt documents</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2017-12-02 08:00:00+00:00,Hindustan Times
Violent protests against Padmaavat to prison for Lalu again: Top stories of the day - Hindustan Times,https://www.hindustantimes.com/india-news/violent-protests-against-padmaavat-to-prison-for-lalu-again-top-stories-of-the-day/story-682GOyKP9XOy1thT6GlBiL.html," href=""https://www.hindustantimes.com/india-news/violent-protests-against-padmaavat-to-prison-for-lalu-again-top-stories-of-the-day/story-682GOyKP9XOy1thT6GlBiL.html"" target=""_blank"">Violent protests against Padmaavat to prison for Lalu again: Top stories of the day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font",2018-01-25 08:00:00+00:00,Hindustan Times
'You can get killed': journalists living in fear as states crack down - The Guardian,https://www.theguardian.com/media/2017/nov/30/journalists-living-in-fear-states-crack-down-press-freedom," href=""https://www.theguardian.com/media/2017/nov/30/journalists-living-in-fear-states-crack-down-press-freedom"" target=""_blank"">'You can get killed': journalists living in fear as states crack down</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Guardian</font",2017-11-29 08:00:00+00:00,The Guardian
"Qualified Privilege Defence Flies In Ryanair Case - Litigation, Mediation & Arbitration - Ireland - Mondaq News Alerts",https://www.mondaq.com/ireland/libel-defamation/666772/qualified-privilege-defence-flies-in-ryanair-case," href=""https://www.mondaq.com/ireland/libel-defamation/666772/qualified-privilege-defence-flies-in-ryanair-case"" target=""_blank"">Qualified Privilege Defence Flies In Ryanair Case - Litigation, Mediation & Arbitration - Ireland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mondaq News Alerts</font",2018-01-24 08:00:00+00:00,Mondaq News Alerts
"Pope apologizes for sex abuse comments, but defends Chile bishop - Deutsche Welle",https://www.dw.com/en/pope-apologizes-for-sex-abuse-comments-but-defends-chile-bishop/a-42260653," href=""https://www.dw.com/en/pope-apologizes-for-sex-abuse-comments-but-defends-chile-bishop/a-42260653"" target=""_blank"">Pope apologizes for sex abuse comments, but defends Chile bishop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deutsche Welle</font",2018-01-22 08:00:00+00:00,Deutsche Welle
"Delhi HC Refuses To Restrain Arnab Goswami, Republic TV From Airing News About Sunanda Pushkar's Death Case - Outlook India",https://www.outlookindia.com/website/story/delhi-hc-refuses-to-restrain-arnab-goswami-republic-tv-from-airing-news-about-su/305034," href=""https://www.outlookindia.com/website/story/delhi-hc-refuses-to-restrain-arnab-goswami-republic-tv-from-airing-news-about-su/305034"" target=""_blank"">Delhi HC Refuses To Restrain Arnab Goswami, Republic TV From Airing News About Sunanda Pushkar's Death Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2017-12-01 08:00:00+00:00,Outlook India
Lady ‘Singham’ IPS Roopa Talks About The Challenges Of Being An Honest Police Officer In India - The Logical Indian,https://thelogicalindian.com/story-feed/get-inspired/lady-singham-ips-roopa-talks-about-the-challenges-of-being-an-honest-police-officer-in-india," href=""https://thelogicalindian.com/story-feed/get-inspired/lady-singham-ips-roopa-talks-about-the-challenges-of-being-an-honest-police-officer-in-india"" target=""_blank"">Lady ‘Singham’ IPS Roopa Talks About The Challenges Of Being An Honest Police Officer In India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Logical Indian</font",2018-01-17 08:00:00+00:00,The Logical Indian
