title,link,description,date,source
“Even Naija Dey Owe” – Comedian Ebiye Speaks After Being Dragged For Buying Car On Credit And Defaulting Payment (VIDEO) - GH Gossip,https://www.ghgossip.com/even-naija-dey-owe-comedian-ebiye-speaks-after-being-dragged-for-buying-car-on-credit-and-defaulting-payment-video/," href=""https://www.ghgossip.com/even-naija-dey-owe-comedian-ebiye-speaks-after-being-dragged-for-buying-car-on-credit-and-defaulting-payment-video/"" target=""_blank"">“Even Naija Dey Owe” – Comedian Ebiye Speaks After Being Dragged For Buying Car On Credit And Defaulting Payment (VIDEO)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GH Gossip</font",2020-10-26 09:02:00+00:00,GH Gossip
Netflix wins legal battle to screen 'Bad Boy Billionaires' series - The Australian Financial Review,https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu," href=""https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu"" target=""_blank"">Netflix wins legal battle to screen 'Bad Boy Billionaires' series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-09 07:00:00+00:00,The Australian Financial Review
Trump accused Warren Buffett in 2016 of taking 'massive' tax deductions. The future president paid just $750 i - Business Insider India,https://www.businessinsider.in/finance/news/trump-accused-warren-buffett-of-taking-massive-tax-deductions-in-2016-the-future-president-paid-just-750-in-federal-income-tax-that-year-/articleshow/78424795.cms," href=""https://www.businessinsider.in/finance/news/trump-accused-warren-buffett-of-taking-massive-tax-deductions-in-2016-the-future-president-paid-just-750-in-federal-income-tax-that-year-/articleshow/78424795.cms"" target=""_blank"">Trump accused Warren Buffett in 2016 of taking 'massive' tax deductions. The future president paid just $750 i</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Insider India</font",2020-10-01 07:00:00+00:00,Business Insider India
Future of affordable housing in Brookhill in doubt as bid to secure funding fails - Charlotte Observer,https://www.charlotteobserver.com/news/local/article246334715.html," href=""https://www.charlotteobserver.com/news/local/article246334715.html"" target=""_blank"">Future of affordable housing in Brookhill in doubt as bid to secure funding fails</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Charlotte Observer</font",2020-10-10 07:00:00+00:00,Charlotte Observer
Non-Respondent's Product Cannot Be Adjudicated for Infringement in Context of General Exclusion Order - The National Law Review,https://www.natlawreview.com/article/non-respondent-s-product-cannot-be-adjudicated-infringement-context-general," href=""https://www.natlawreview.com/article/non-respondent-s-product-cannot-be-adjudicated-infringement-context-general"" target=""_blank"">Non-Respondent's Product Cannot Be Adjudicated for Infringement in Context of General Exclusion Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The National Law Review</font",2020-10-15 07:00:00+00:00,The National Law Review
"Model Arlette Accuses Agency Of Withholding Dues, Owner Reacts - The Quint",https://www.thequint.com/entertainment/celebrities/model-arlette-grao-accuses-agency-of-withholding-dues-owner-reacts," href=""https://www.thequint.com/entertainment/celebrities/model-arlette-grao-accuses-agency-of-withholding-dues-owner-reacts"" target=""_blank"">Model Arlette Accuses Agency Of Withholding Dues, Owner Reacts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font",2020-09-29 07:00:00+00:00,The Quint
Delhi Police nabs absconding debtors for taking Rs 2.56 crore loan against forged documents - India Today,https://www.indiatoday.in/cities/delhi/story/delhi-police-nabs-absconding-debtors-for-taking-rs-2-56-crore-loan-against-forged-documents-1731665-2020-10-15," href=""https://www.indiatoday.in/cities/delhi/story/delhi-police-nabs-absconding-debtors-for-taking-rs-2-56-crore-loan-against-forged-documents-1731665-2020-10-15"" target=""_blank"">Delhi Police nabs absconding debtors for taking Rs 2.56 crore loan against forged documents</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font",2020-10-14 21:39:31+00:00,India Today
"Amazon takes on Future Group over deal with Reliance, sends legal notice - Business Standard",https://www.business-standard.com/article/companies/amazon-takes-on-future-group-over-deal-with-reliance-sends-legal-notice-120100701732_1.html," href=""https://www.business-standard.com/article/companies/amazon-takes-on-future-group-over-deal-with-reliance-sends-legal-notice-120100701732_1.html"" target=""_blank"">Amazon takes on Future Group over deal with Reliance, sends legal notice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font",2020-10-07 07:00:00+00:00,Business Standard
"Why agro-crowdfunding platform, Thrive Agric is defaulting on payments despite insured operations - Techpoint Africa",https://techpoint.africa/2020/10/06/thrive-agric-defaulting-insurance/," href=""https://techpoint.africa/2020/10/06/thrive-agric-defaulting-insurance/"" target=""_blank"">Why agro-crowdfunding platform, Thrive Agric is defaulting on payments despite insured operations</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Techpoint Africa</font",2020-10-06 07:00:00+00:00,Techpoint Africa
"In 2019, public lenders reported more fraud to cops; this year, pvt lenders outshine - Millennium Post",http://www.millenniumpost.in/delhi/in-2019-public-lenders-reported-more-fraud-to-cops-this-year-pvt-lenders-outshine-421510," href=""http://www.millenniumpost.in/delhi/in-2019-public-lenders-reported-more-fraud-to-cops-this-year-pvt-lenders-outshine-421510"" target=""_blank"">In 2019, public lenders reported more fraud to cops; this year, pvt lenders outshine</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Millennium Post</font",2020-10-18 07:00:00+00:00,Millennium Post
"The Kushners’ Freddie Mac Loan Wasn’t Just Massive. It Came With Unusually Good Terms, Too. - ProPublica",https://www.propublica.org/article/the-kushners-freddie-mac-loan-wasnt-just-massive-it-came-with-unusually-good-terms-too," href=""https://www.propublica.org/article/the-kushners-freddie-mac-loan-wasnt-just-massive-it-came-with-unusually-good-terms-too"" target=""_blank"">The Kushners’ Freddie Mac Loan Wasn’t Just Massive. It Came With Unusually Good Terms, Too.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ProPublica</font",2020-10-01 07:00:00+00:00,ProPublica
"States, ULBs not paying frontline workers, healthcare professionals is nothing short of govt default - The Financial Express",https://www.financialexpress.com/opinion/states-ulbs-not-paying-frontline-workers-healthcare-professionals-is-nothing-short-of-govt-default/2095379/," href=""https://www.financialexpress.com/opinion/states-ulbs-not-paying-frontline-workers-healthcare-professionals-is-nothing-short-of-govt-default/2095379/"" target=""_blank"">States, ULBs not paying frontline workers, healthcare professionals is nothing short of govt default</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font",2020-10-01 07:00:00+00:00,The Financial Express
